role,broker_type,run_mode,gbps_target,message_size_bytes,run_duration_secs,messages_sent,messages_received,messages_lost,achieved_throughput_gbps,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms
producer,redpanda,combined,10.000,65536,60,24706,,,,,,,
producer,redpanda,combined,10.000,1048576,60,3146,,,,,,,
producer,redpanda,combined,10.000,12582912,60,1377,,,,,,,
producer,redpanda,combined,10.000,33554432,60,483,,,,,,,
