role,broker_type,run_mode,gbps_target,message_size_bytes,run_duration_secs,messages_sent,messages_received,messages_lost,achieved_throughput_gbps,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms
consumer,redpanda,combined,10.000,65536,60,,22303,0,0.194887,1212.159,1650.303,2448.895,2451.967
consumer,redpanda,combined,10.000,1048576,60,,2865,0,0.400556,1228.159,2151.295,2479.359,4098.175
consumer,redpanda,combined,10.000,12582912,60,,1233,0,2.068631,1099.519,5227.519,9554.431,20528.127
consumer,redpanda,combined,10.000,33554432,60,,411,0,1.838783,2244.223,12853.247,24182.783,28998.655
