role,broker_type,run_mode,gbps_target,message_size_bytes,run_duration_secs,messages_sent,messages_received,messages_lost,achieved_throughput_gbps,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms
consumer,redpanda,combined,10.000,65536,60,,29421,0,0.257085,638.207,2213.759,4544.255,21560.319
consumer,redpanda,combined,10.000,1048576,60,,2955,0,0.413139,701.055,3044.863,7809.535,22705.151
consumer,redpanda,combined,10.000,12582912,60,,648,0,1.087164,855.071,14199.295,31733.759,42874.879
consumer,redpanda,combined,10.000,33554432,60,,182,0,0.814254,6841.599,31005.695,44951.551,47693.823
